Date,,,Temp,MaxTemp,MinTemp,Rainfall
2006-04-01 00:00:00.000 +0200,,,9.472222222,38.1,17.9,23
2006-05-01 01:00:00.000 +0200,,,9.355555556,32.4,18.8,24
2006-05-01 02:00:00.000 +0200,,,9.377777778,34.5,14.6,21
2006-06-01 03:00:00.000 +0200,,,8.288888889,20.7,15.8,21
2006-07-01 04:00:00.000 +0200,,,8.755555556,21.5,15.8,19
2006-04-01 05:00:00.000 +0200,,,9.222222222,23.1,15.8,21
2006-04-01 06:00:00.000 +0200,,,7.733333333,29.7,17.4,22
2006-03-01 07:00:00.000 +0200,,,8.772222222,36.6,21.8,16
2006-01-01 08:00:00.000 +0200,,,10.82222222,36.1,20,13
2006-08-01 09:00:00.000 +0200,,,13.77222222,20.6,16.2,24
2006-02-01 10:00:00.000 +0200,,,16.01666667,20.4,13.3,22
2006-03-01 11:00:00.000 +0200,,,17.14444444,30.1,16.7,24
2006-04-01 12:00:00.000 +0200,,,17.8,38.7,21.5,12
2006-04-01 13:00:00.000 +0200,,,17.33333333,41.4,25,17
2006-04-01 14:00:00.000 +0200,,,18.87777778,37,20.7,18
2006-08-01 15:00:00.000 +0200,,,18.91111111,36,20.6,14
2006-03-01 16:00:00.000 +0200,,,15.38888889,37,24.8,14
2006-09-01 17:00:00.000 +0200,,,15.55,38,17.7,16
2006-11-01 18:00:00.000 +0200,,,14.25555556,23,15.5,14
2006-04-01 19:00:00.000 +0200,,,13.14444444,26.7,18.2,17
2006-04-01 20:00:00.000 +0200,,,11.55,27.5,12.1,14
2006-12-01 21:00:00.000 +0200,,,11.18333333,21.7,14.4,16
2006-04-01 22:00:00.000 +0200,,,10.11666667,22.9,16,13
2006-04-01 23:00:00.000 +0200,,,10.2,26.2,16.5,14
2006-10-10 00:00:00.000 +0200,,,10.42222222,36.5,18.7,13
2006-04-10 01:00:00.000 +0200,,,9.911111111,41.8,19.4,13
2006-03-10 02:00:00.000 +0200,,,11.18333333,21.5,17.2,13
2006-04-10 03:00:00.000 +0200,,,7.155555556,19.2,15.5,15
2006-04-10 04:00:00.000 +0200,,,6.111111111,25,15.1,15
2006-04-10 05:00:00.000 +0200,,,6.788888889,28.9,15.4,15
2006-04-10 06:00:00.000 +0200,,,7.261111111,23.2,15.3,20
2006-04-10 07:00:00.000 +0200,,,7.8,31.5,18.8,16
2006-04-10 08:00:00.000 +0200,,,9.872222222,36.2,21.9,17
2006-04-10 09:00:00.000 +0200,,,12.22222222,38.2,19.9,18
2006-04-10 10:00:00.000 +0200,,,15.09444444,26.4,16.6,12
2006-06-10 11:00:00.000 +0200,,,17.35555556,20.9,16.8,13
2006-04-10 12:00:00.000 +0200,,,19.00555556,21.5,14.6,15
2006-04-10 13:00:00.000 +0200,,,20.04444444,30.2,17.1,13
2006-04-10 14:00:00.000 +0200,,,21.05,33.4,25,14
2006-07-10 15:00:00.000 +0200,,,21.18333333,32.6,15,17
2006-04-10 16:00:00.000 +0200,,,20.11666667,22.2,13.7,15
2006-05-10 17:00:00.000 +0200,,,20.21666667,21.7,13.9,16
2006-04-10 18:00:00.000 +0200,,,20,30,18.3,14
2006-08-10 19:00:00.000 +0200,,,17.8,35.7,22,14
2006-04-10 20:00:00.000 +0200,,,16.06111111,32.8,22.1,14
2006-11-10 21:00:00.000 +0200,,,15.02222222,39.3,21.2,14
2006-04-10 22:00:00.000 +0200,,,14.42222222,25.5,18.4,14
2006-05-10 23:00:00.000 +0200,,,14.25555556,23,16.6,11
2006-04-11 00:00:00.000 +0200,,,13.77222222,19.9,16.1,13
2006-04-11 01:00:00.000 +0200,,,13.28333333,21.3,15.7,11
2006-04-11 02:00:00.000 +0200,,,8.633333333,20.8,16.6,13
2006-04-11 03:00:00.000 +0200,,,11.25,21.7,16.5,8
2006-04-11 04:00:00.000 +0200,,,11.18333333,23.8,14.4,9
2006-04-11 05:00:00.000 +0200,,,10.69444444,29,14.4,8
2006-04-11 06:00:00.000 +0200,,,11.11111111,23.7,18.5,9
2006-04-11 07:00:00.000 +0200,,,11.11111111,21.3,16.9,8
2006-04-11 08:00:00.000 +0200,,,12.16666667,28.5,17.5,9
2006-04-11 09:00:00.000 +0200,,,12.75555556,33.6,21.2,9
2006-04-11 10:00:00.000 +0200,,,13.83888889,34.6,17.8,9
2006-04-11 11:00:00.000 +0200,,,16.18333333,34.2,18.6,8
2006-04-11 12:00:00.000 +0200,,,17.51666667,27,17,9
2006-04-11 13:00:00.000 +0200,,,17.38333333,24.2,16,10
2006-04-11 14:00:00.000 +0200,,,17.36111111,19.9,13.3,7
2006-04-11 15:00:00.000 +0200,,,17.20555556,19.7,14.3,34
2006-04-11 16:00:00.000 +0200,,,15.63333333,21.5,11.4,40
2006-04-11 17:00:00.000 +0200,,,13.57777778,30.6,16.3,23
2006-04-11 18:00:00.000 +0200,,,10.91111111,30,16.1,26
2006-04-11 19:00:00.000 +0200,,,8.8,19,11.8,32
2006-04-11 20:00:00.000 +0200,,,8.961111111,19.6,12.2,28
2006-04-11 21:00:00.000 +0200,,,8.2,20.6,14.7,34
2006-04-11 22:00:00.000 +0200,,,7.688888889,23.6,11.8,35
2006-04-11 23:00:00.000 +0200,,,7.766666667,17.9,11.3,32
2006-04-12 00:00:00.000 +0200,,,8.2,17.3,10.6,35
2006-04-12 01:00:00.000 +0200,,,8.177777778,21.4,11.7,34
2006-04-12 02:00:00.000 +0200,,,7.311111111,24.1,14.2,27
2006-04-12 03:00:00.000 +0200,,,7.644444444,20.9,11.2,38
2006-04-12 04:00:00.000 +0200,,,6.622222222,30.1,16.9,29
2006-04-12 05:00:00.000 +0200,,,6.683333333,32.6,16.7,29
2006-04-12 06:00:00.000 +0200,,,6.088888889,21.3,8.1,30
2006-04-12 07:00:00.000 +0200,,,6.066666667,19.5,8,24
2006-04-12 08:00:00.000 +0200,,,6.144444444,19.9,8.8,21
2006-04-12 09:00:00.000 +0200,,,7.133333333,21,13.4,20
2006-04-12 10:00:00.000 +0200,,,7.205555556,25.4,10.9,25
2006-04-12 11:00:00.000 +0200,,,7.566666667,17.5,13.4,25
2006-04-12 12:00:00.000 +0200,,,8.9,20.4,11,16
2006-04-12 13:00:00.000 +0200,,,9.961111111,26.8,15,19
2006-04-12 14:00:00.000 +0200,,,9.888888889,25.8,15.7,21
2006-04-12 15:00:00.000 +0200,,,11.06666667,20.9,14.5,19
2006-04-12 16:00:00.000 +0200,,,10.11666667,19.4,15.8,17
2006-04-12 17:00:00.000 +0200,,,11.03888889,25.8,16.7,22
2006-04-12 18:00:00.000 +0200,,,10.65,26.3,16.8,19
2006-04-12 19:00:00.000 +0200,,,10.05,29.6,17.5,15
2006-04-12 20:00:00.000 +0200,,,9.9,30.3,17.1,21
2006-04-12 21:00:00.000 +0200,,,8.794444444,23.6,18.1,17
2006-04-12 22:00:00.000 +0200,,,7.827777778,28.4,16.6,17
2006-04-12 23:00:00.000 +0200,,,7.855555556,20.7,10,19
2006-04-13 00:00:00.000 +0200,,,7.316666667,24.1,14.9,20
2006-04-13 01:00:00.000 +0200,,,7.244444444,27.3,15.9,17
2006-04-13 02:00:00.000 +0200,,,5.438888889,23.2,13,16
2006-04-13 03:00:00.000 +0200,,,7.2,18.3,7.6,16
2006-04-13 04:00:00.000 +0200,,,6.688888889,24.6,11.5,18
2006-04-13 05:00:00.000 +0200,,,6.211111111,27.4,13.5,22
2006-04-13 06:00:00.000 +0200,,,6.111111111,20.4,13,17
2006-04-13 07:00:00.000 +0200,,,6.111111111,18.1,13.3,20
2006-04-13 08:00:00.000 +0200,,,6.172222222,25.2,12.1,16
2006-04-13 09:00:00.000 +0200,,,7.222222222,19.8,12.4,16
2006-04-13 10:00:00.000 +0200,,,7.288888889,21,13.2,20
2006-04-13 11:00:00.000 +0200,,,7.405555556,23.7,13.8,14
2006-04-13 12:00:00.000 +0200,,,7.961111111,19.6,10.6,15
2006-04-13 13:00:00.000 +0200,,,8.033333333,18.1,9,15
2006-04-13 14:00:00.000 +0200,,,9.077777778,20.8,10,15
2006-04-13 15:00:00.000 +0200,,,9.05,26,9.8,12
2006-04-13 16:00:00.000 +0200,,,9.05,18.4,11.5,13
2006-04-13 17:00:00.000 +0200,,,9.183333333,22,8.9,11
2006-04-13 18:00:00.000 +0200,,,9.072222222,14.4,7.4,17
2006-04-13 19:00:00.000 +0200,,,7.983333333,19.9,9.9,19
2006-04-13 20:00:00.000 +0200,,,8.072222222,22.6,9.3,17
2006-04-13 21:00:00.000 +0200,,,7.894444444,13.7,9.9,16
2006-04-13 22:00:00.000 +0200,,,7.311111111,15.9,7.4,14
2006-04-13 23:00:00.000 +0200,,,7.338888889,21.2,8.6,14
2006-04-14 00:00:00.000 +0200,,,6.622222222,23.7,11.9,22
2006-04-14 01:00:00.000 +0200,,,6.066666667,24,14,18
2006-04-14 02:00:00.000 +0200,,,8.338888889,17.2,8.6,21
2006-04-14 03:00:00.000 +0200,,,5.183333333,23.2,10,19
2006-04-14 04:00:00.000 +0200,,,3.722222222,25.2,13.5,17
2006-04-14 05:00:00.000 +0200,,,4.855555556,17.2,12,15
2006-04-14 06:00:00.000 +0200,,,5.211111111,16,10.5,17
2006-04-14 07:00:00.000 +0200,,,6.255555556,15.6,10.7,19
2006-04-14 08:00:00.000 +0200,,,7.794444444,13.4,8.1,19
2006-04-14 09:00:00.000 +0200,,,10.05,16,10.1,13
2006-04-14 10:00:00.000 +0200,,,12.2,16.8,10.6,7
2006-04-14 11:00:00.000 +0200,,,12.7,14.6,5.3,11
2006-04-14 12:00:00.000 +0200,,,13.93333333,19.4,6.6,9
2006-04-14 13:00:00.000 +0200,,,15.09444444,21,8.5,9
2006-04-14 14:00:00.000 +0200,,,15.15,19.5,11.2,8
2006-04-14 15:00:00.000 +0200,,,16.17777778,18.5,9.8,8
2006-04-14 16:00:00.000 +0200,,,16.25,13.3,5.9,11
2006-04-14 17:00:00.000 +0200,,,16.29444444,13.7,3.2,6
2006-04-14 18:00:00.000 +0200,,,16.1,14.3,2.1,8
2006-04-14 19:00:00.000 +0200,,,12.95555556,14.1,3.4,9
2006-04-14 20:00:00.000 +0200,,,13.85,11.4,5.4,4
2006-04-14 21:00:00.000 +0200,,,12.77777778,13.6,9.6,3
2006-04-14 22:00:00.000 +0200,,,12.15,16.6,11.5,6
2006-04-14 23:00:00.000 +0200,,,10.67777778,17.6,12.3,3
2006-04-15 00:00:00.000 +0200,,,10.44444444,14.6,12.6,29
2006-04-15 01:00:00.000 +0200,,,9.822222222,17.2,11,28
2006-04-15 02:00:00.000 +0200,,,11.02777778,14.4,11.2,26
2006-04-15 03:00:00.000 +0200,,,7.138888889,16.4,11.4,21
2006-04-15 04:00:00.000 +0200,,,7.622222222,17.3,11.8,21
2006-04-15 05:00:00.000 +0200,,,7.627777778,17.6,12.8,17
2006-04-15 06:00:00.000 +0200,,,7.044444444,17.2,11.6,17
2006-04-15 07:00:00.000 +0200,,,8.6,17.7,10.6,20
2006-04-15 08:00:00.000 +0200,,,9.65,14.2,9.8,21
2006-04-15 09:00:00.000 +0200,,,12.10555556,16.6,11.2,20
2006-04-15 10:00:00.000 +0200,,,12.77777778,15.7,5.7,18
2006-04-15 11:00:00.000 +0200,,,13.81111111,13.7,7.1,16
2006-04-15 12:00:00.000 +0200,,,16.01666667,14.7,2.5,16
2006-04-15 13:00:00.000 +0200,,,17.12777778,13.1,3.5,15
2006-04-15 14:00:00.000 +0200,,,17.14444444,12.9,4.6,14
2006-04-15 15:00:00.000 +0200,,,17.77777778,15.4,11,16
2006-04-15 16:00:00.000 +0200,,,17.77777778,11.9,5.7,15
2006-04-15 17:00:00.000 +0200,,,17.80555556,15.2,7.7,14
2006-04-15 18:00:00.000 +0200,,,16.15555556,15.3,10.4,11
2006-04-15 19:00:00.000 +0200,,,14.05,16.5,11.4,11
2006-04-15 20:00:00.000 +0200,,,13.08888889,16.1,9.2,6
2006-04-15 21:00:00.000 +0200,,,12.28888889,11.7,6.1,3
2006-04-15 22:00:00.000 +0200,,,12.77777778,11.2,2.7,2
2006-04-15 23:00:00.000 +0200,,,12.72777778,11.5,4.3,2
